Sample,HB_strain,group_name,treat,time_1_min,time_2_min,time_3_min
A1,yH298,wt,2mMH2O2,0,90,180
B1,yH299,wt,2mMH2O2,0,90,180
C1,yH905,RS2_24,2mMH2O2,0,90,180
D1,yH906,RS2_24,2mMH2O2,0,90,180
E1,yH907,RS2_24,2mMH2O2,0,90,180
F1,yH908,RS2_26,2mMH2O2,0,90,180
G1,yH909,RS2_26,2mMH2O2,0,90,180
H1,yH910,RS2_26,2mMH2O2,0,90,180
A2,yH911,RS2_28,2mMH2O2,0,90,180
B2,yH912,RS2_28,2mMH2O2,0,90,180
C2,yH913,RS2_28,2mMH2O2,0,90,180
D2,yH914,RS2_210,2mMH2O2,0,90,180
E2,yH915,RS2_210,2mMH2O2,0,90,180
F2,yH916,RS2_210,2mMH2O2,0,90,180
G2,,,,,,
H2,,,,,,
A3,yH298,wt,Ctrl,0,90,180
B3,yH299,wt,Ctrl,0,90,180
C3,yH905,RS2_24,Ctrl,0,90,180
D3,yH906,RS2_24,Ctrl,0,90,180
E3,yH907,RS2_24,Ctrl,0,90,180
F3,yH908,RS2_26,Ctrl,0,90,180
G3,yH909,RS2_26,Ctrl,0,90,180
H3,yH910,RS2_26,Ctrl,0,90,180
A4,yH911,RS2_28,Ctrl,0,90,180
B4,yH912,RS2_28,Ctrl,0,90,180
C4,yH913,RS2_28,Ctrl,0,90,180
D4,yH914,RS2_210,Ctrl,0,90,180
E4,yH915,RS2_210,Ctrl,0,90,180
F4,yH916,RS2_210,Ctrl,0,90,180
G4,,,,,,
H4,,,,,,
A5,yH298,wt,2mMH2O2,30,120,210
B5,yH299,wt,2mMH2O2,30,120,210
C5,yH905,RS2_24,2mMH2O2,30,120,210
D5,yH906,RS2_24,2mMH2O2,30,120,210
E5,yH907,RS2_24,2mMH2O2,30,120,210
F5,yH908,RS2_26,2mMH2O2,30,120,210
G5,yH909,RS2_26,2mMH2O2,30,120,210
H5,yH910,RS2_26,2mMH2O2,30,120,210
A6,yH911,RS2_28,2mMH2O2,30,120,210
B6,yH912,RS2_28,2mMH2O2,30,120,210
C6,yH913,RS2_28,2mMH2O2,30,120,210
D6,yH914,RS2_210,2mMH2O2,30,120,210
E6,yH915,RS2_210,2mMH2O2,30,120,210
F6,yH916,RS2_210,2mMH2O2,30,120,210
G6,,,,,,
H6,,,,,,
A7,yH298,wt,Ctrl,30,120,210
B7,yH299,wt,Ctrl,30,120,210
C7,yH905,RS2_24,Ctrl,30,120,210
D7,yH906,RS2_24,Ctrl,30,120,210
E7,yH907,RS2_24,Ctrl,30,120,210
F7,yH908,RS2_26,Ctrl,30,120,210
G7,yH909,RS2_26,Ctrl,30,120,210
H7,yH910,RS2_26,Ctrl,30,120,210
A8,yH911,RS2_28,Ctrl,30,120,210
B8,yH912,RS2_28,Ctrl,30,120,210
C8,yH913,RS2_28,Ctrl,30,120,210
D8,yH914,RS2_210,Ctrl,30,120,210
E8,yH915,RS2_210,Ctrl,30,120,210
F8,yH916,RS2_210,Ctrl,30,120,210
G8,,,,,,
H8,,,,,,
A9,yH298,wt,2mMH2O2,60,150,240
B9,yH299,wt,2mMH2O2,60,150,240
C9,yH905,RS2_24,2mMH2O2,60,150,240
D9,yH906,RS2_24,2mMH2O2,60,150,240
E9,yH907,RS2_24,2mMH2O2,60,150,240
F9,yH908,RS2_26,2mMH2O2,60,150,240
G9,yH909,RS2_26,2mMH2O2,60,150,240
H9,yH910,RS2_26,2mMH2O2,60,150,240
A10,yH911,RS2_28,2mMH2O2,60,150,240
B10,yH912,RS2_28,2mMH2O2,60,150,240
C10,yH913,RS2_28,2mMH2O2,60,150,240
D10,yH914,RS2_210,2mMH2O2,60,150,240
E10,yH915,RS2_210,2mMH2O2,60,150,240
F10,yH916,RS2_210,2mMH2O2,60,150,240
G10,,,,,,
H10,,,,,,
A11,yH298,wt,Ctrl,60,150,240
B11,yH299,wt,Ctrl,60,150,240
C11,yH905,RS2_24,Ctrl,60,150,240
D11,yH906,RS2_24,Ctrl,60,150,240
E11,yH907,RS2_24,Ctrl,60,150,240
F11,yH908,RS2_26,Ctrl,60,150,240
G11,yH909,RS2_26,Ctrl,60,150,240
H11,yH910,RS2_26,Ctrl,60,150,240
A12,yH911,RS2_28,Ctrl,60,150,240
B12,yH912,RS2_28,Ctrl,60,150,240
C12,yH913,RS2_28,Ctrl,60,150,240
D12,yH914,RS2_210,Ctrl,60,150,240
E12,yH915,RS2_210,Ctrl,60,150,240
F12,yH916,RS2_210,Ctrl,60,150,240
G12,,,,,,
H12,,,,,,
